keydevid,companyid,keydeveventtypeid,announcedate,gvkey
61535,294585,25,20020228,008245
61645,92274,25,20020228,113491
61657,26604,25,20020228,029621
61657,28089,25,20020228,122137
61661,2524909,25,20020228,
61677,411996,25,20020228,133726
61786,33956,25,20030929,009299
61786,327178,25,20030929,028933
61789,302456,25,20030929,012183
61808,2763803,25,20030929,
61808,7960137,25,20030929,
61835,3034707,25,20020130,010327
61854,91192,25,20020222,126417
61854,287585,25,20020222,007291
61854,8642424,25,20020222,
61920,269027,25,20020220,004245
61967,1579389,25,20020220,001388
61984,3711604,25,20020220,
62061,4180247,25,20020219,
62113,339972,25,20020212,061489
62197,27185,25,20020212,119273
62257,19049,25,20020211,007647
67886,6492940,25,20030926,
67957,339972,25,20020324,061489
67962,516026,25,20030925,
68307,1529972,25,20030924,142852
68405,267555,25,20030924,004108
68619,30796,25,20030923,
68778,160210,25,20020112,
68995,111762,25,20020716,065488
69267,26866,25,20030918,024779
69267,154924,25,20030918,126554
69295,252431,25,20030918,023767
69318,1032379,25,20030918,
69327,170388,25,20030918,001998
69417,6945777,25,20030917,
69517,24442,25,20030723,114608
69528,293515,25,20030917,008099
69585,397566,25,20030917,105317
69604,189848,25,20030917,010507
69611,26399,25,20030917,063185
69759,35440,25,20021030,062109
69790,1657481,25,20030917,004049
69829,35695,25,20021210,031564
69857,172899,25,20021217,002547
69886,776646,25,20020210,066437
69905,21835,25,20020210,012141
69915,516026,25,20030917,
69944,36547,25,20030917,138347
70339,107911,25,20021218,007750
70562,1032379,25,20030915,
70596,878423,25,20020930,028664
70603,27129,25,20030916,114920
70609,267850,25,20021130,004093
70620,348722,25,20020911,063417
70698,1213626,25,20020923,
70711,33127,25,20020923,062730
70717,292240,25,20020923,012734
70726,7959887,25,20020925,
70734,1657481,25,20030915,004049
70837,3759121,25,20021031,
70861,1589616,25,20021025,
70980,36712,25,20030518,
70992,3023697,25,20021029,175689
70992,4245102,25,20021029,
71008,7935513,25,20021030,
71066,254965,25,20021003,002146
71079,317627,25,20021003,025279
71085,934781,25,20021003,
71100,33765,25,20021005,031460
71105,21803,25,20021009,007267
71105,249126,25,20021009,001279
71110,438185,25,20021009,
71243,4301431,25,20021122,
71269,7985153,25,20021001,
71546,154924,25,20021104,126554
71547,394620,25,20021103,116857
71554,120343,25,20021104,101264
71568,7702600,25,20021104,
71600,6495561,25,20021212,
71610,93614,25,20021214,009155
71665,6618085,25,20021121,
71669,107911,25,20021121,007750
71683,1624603,25,20021123,
71685,278679,25,20021123,005680
71686,294110,25,20021123,008184
71722,26003,25,20021014,160988
71727,19609,25,20021023,126136
71929,1524812,25,20020131,
71936,313055,25,20021205,011259
71964,29753,25,20021206,138205
71999,306654,25,20021206,010238
72130,119853,25,20020913,003221
72184,8272919,25,20021210,
72192,6491293,25,20021211,
72230,642736,25,20021219,
72394,364405,25,20030619,065156
72463,267555,25,20030912,004108
72481,368537,25,20030619,
72502,519888,25,20030605,103255
72536,385872,25,20030314,112033
72548,8237188,25,20030912,
72549,369626,25,20030523,066005
72554,875543,25,20030912,014302
72611,4250533,25,20030912,
72613,103659,25,20030912,
72613,121853,25,20030912,
72615,253851,25,20030512,015848
72619,274944,25,20030315,018549
72620,385872,25,20030314,112033
72654,1038355,25,20030626,
72716,275442,25,20030808,005180
72719,24912975,25,20030613,
72806,24215,25,20030515,119753
72838,375571,25,20030613,064404
72846,7962540,25,20030911,
72850,200128,25,20030612,025495
72912,7758146,25,20030911,
72962,98506,25,20030911,002991
72969,26399,25,20030911,063185
73001,26642,25,20030627,003144
73011,387083,25,20030806,112401
73038,406338,25,20030910,004503
73087,24320,25,20030627,064302
73089,27338,25,20030627,031467
73101,20783,25,20030627,
73180,373545,25,20030227,023667
73268,26399,25,20030911,063185
73334,378115,25,20030626,023790
73390,3046492,25,20030625,009564
73405,265463,25,20030910,012775
73416,19049,25,20030910,007647
73416,170388,25,20030910,001998
73416,416514,25,20030910,137232
73449,166762,25,20030616,012726
73467,24442,25,20030514,114608
73500,268713,25,20030514,004274
73559,368537,25,20030618,
73658,178976,25,20030910,006036
73989,1032379,25,20030908,
74012,7728275,25,20030513,
74019,27338,25,20030603,031467
74022,27338,25,20030603,031467
74024,2015537,25,20030909,
74036,30323,25,20030903,029133
74106,177698,25,20030909,005439
74110,4730618,25,20030909,
74118,406896,25,20030909,061745
74121,394668,25,20030909,062257
74141,4468896,25,20030909,
74152,139673,25,20030909,009459
74169,416514,25,20030908,137232
74177,90443,25,20030908,129851
74218,8101889,25,20030908,
74267,269706,25,20030508,004439
74274,90443,25,20030909,129851
74295,34590,25,20030909,062640
74333,7714805,25,20030507,
74397,177698,25,20030908,005439
74400,33562,25,20030908,146619
74400,279728,25,20030908,012874
74467,280660,25,20030428,005894
74474,8032058,25,20030528,
74489,91823,25,20030516,009411
74496,334252,25,20030617,029105
74497,368537,25,20030528,
74498,384493,25,20030617,110679
74518,8085569,25,20030519,
74524,368537,25,20030530,
74553,4482480,25,20030610,
74564,34994,25,20030516,125360
74718,373545,25,20030417,023667
74877,373545,25,20030424,023667
74901,873741,25,20030320,002526
74911,29374,25,20030424,012589
74922,29374,25,20030424,012589
74931,24215,25,20030417,119753
74940,1589616,25,20030905,
74944,1589616,25,20030905,
75050,26189,25,20030905,025099
75065,381463,25,20030905,066599
75067,598530,25,20030905,142753
75072,416514,25,20030905,137232
75073,265463,25,20030905,012775
75077,208314,25,20030905,
75077,1032379,25,20030905,
75077,4279299,25,20030905,
75083,6632246,25,20030905,
75091,2982375,25,20030905,
75091,7763185,25,20030905,
75097,91183,25,20030905,180423
75351,519888,25,20030604,103255
75368,261687,25,20030821,003103
75379,172899,25,20030904,002547
75383,598671,25,20030904,141983
75386,26642,25,20030904,003144
75395,139488,25,20030904,007154
75399,29374,25,20030408,012589
75420,24215,25,20030421,119753
75568,270961,25,20030409,004640
75570,29374,25,20030409,012589
75662,307128,25,20030408,014897
75662,5535784,25,20030408,
75684,275442,25,20030904,005180
75697,393008,25,20030904,025365
75748,24442,25,20030325,114608
75770,24442,25,20030325,114608
75780,270961,25,20030410,004640
75793,316143,25,20030410,024402
75802,135610,25,20030410,004764
75803,4741872,25,20030402,
75815,29374,25,20030410,012589
75850,3535088,25,20030325,
75851,267554,25,20030321,004073
75942,28670,25,20030903,124319
75945,1286582,25,20030903,
75950,922896,25,20030903,
75968,7935150,25,20030903,
76324,385872,25,20030328,112033
76330,298341,25,20030328,013075
76334,252431,25,20030328,023767
76342,100537,25,20030328,001013
76346,35712,25,20030320,063804
76382,383799,25,20030317,110721
76383,516026,25,20030321,
76389,24442,25,20030326,114608
76431,937975,25,20030203,
76453,7702316,25,20030318,
76777,359086,25,20030902,064552
76777,399846,25,20030902,121513
77066,7732015,25,20030317,
77123,178254,25,20030902,005667
77128,293515,25,20030902,008099
77418,325771,25,20030311,017080
77468,411836,25,20030405,133987
77509,32710,25,20030303,018699
77535,373545,25,20030304,023667
77572,881273,25,20030305,066558
77598,7917617,25,20030219,
77677,385872,25,20030313,112033
78126,26399,25,20030829,063185
78136,267555,25,20030829,004108
78139,387473,25,20030829,218399
78146,417206,25,20030307,
78155,25798,25,20030220,002403
78156,32710,25,20030220,018699
78159,7960227,25,20030220,
78161,254847,25,20030220,002222
78177,105612,25,20030829,008972
78181,3641046,25,20030304,
78546,247611,25,20030111,012484
78547,282848,25,20030828,006315
78552,336774,25,20030828,028272
78664,31799,25,20030827,013031
78664,6531155,25,20030827,005232
78679,598671,25,20030828,141983
78744,3554691,25,20030827,
78750,7694827,25,20030827,
78804,250312,25,20030122,001478
78807,24816,25,20030827,001602
78807,28877,25,20030827,005020
78983,325801,25,20011204,025390
79016,110001,25,20030827,060900
79018,403641,25,20021204,109338
79077,112350,25,20021223,006066
79080,283934,25,20021223,006573
79141,31186,25,20030826,021244
79154,33121,25,20030826,008657
79167,308402,25,20030826,014898
79172,320832,25,20030212,016436
79182,6181652,25,20030212,
79379,283024,25,20021108,006338
79491,18749,25,20030826,064768
79514,7834172,25,20030826,
79520,7959907,25,20030826,
79692,92578,25,20030825,116772
79804,320832,25,20030128,016436
80008,383799,25,20030210,110721
80035,677393,25,20030121,
80141,26515,25,20030825,016401
80141,314057,25,20030825,011399
80170,1680186,25,20021009,
80220,32019,25,20011113,
80227,107231,25,20021114,015354
80233,184841,25,20030418,008001
80236,363172,25,20030418,065072
80251,414644,25,20030224,114650
80252,2908653,25,20030825,
80268,120355,25,20021008,176029
80270,30655,25,20030825,006565
80284,94594,25,20030825,064099
80545,92577,25,20030118,125237
80568,7701749,25,20030725,
80598,269764,25,20030823,007366
80617,35238,25,20030116,140979
80810,316905,25,20011017,025025
80991,680991,25,20030822,105827
80996,401470,25,20030822,108246
81109,30746925,25,20021011,
81228,293515,25,20030821,008099
81234,255251,25,20030821,002176
81470,100151,25,20020926,124324
81544,347726,25,20030821,017765
81546,97199,25,20030821,007985
81661,302617,25,20030821,009611
81661,7733179,25,20030821,
81662,23465,25,20030821,
81711,700681,25,20030820,
81713,139673,25,20030820,009459
81825,545944107,25,20030808,
81828,294957,25,20030805,008333
81887,294006,25,20030819,014384
81891,139488,25,20030805,007154
81892,33653,25,20030819,024608
81894,415798,25,20030819,002136
81920,782102,25,20030819,
81920,947909,25,20030819,
81928,92716,25,20030806,133246
81940,252431,25,20030227,023767
81948,8160221,25,20030806,
81955,367809,25,20030806,025150
81975,1048705,25,20030804,
81975,8221873,25,20030804,
81975,9560316,25,20030804,
81975,84658854,25,20030804,
81979,293515,25,20030819,008099
81986,267555,25,20030819,004108
81993,7917380,25,20030804,
81996,1862513,25,20020823,
82010,416620,25,20030805,144496
82052,34622447,25,20030807,
82055,292369,25,20030807,014918
82061,331852,25,20030807,007672
82072,107911,25,20030807,007750
82089,261687,25,20030808,003103
82093,271199,25,20030808,015208
82095,290203,25,20030808,007637
82096,408374,25,20030808,100499
82097,177126,25,20030808,005073
82098,97199,25,20030808,007985
82100,293515,25,20030808,008099
82106,21127,25,20030808,006008
82106,136333,25,20030808,066708
82110,7962540,25,20030808,
82113,29574,25,20020828,007063
82134,370857,25,20030801,002285
82138,668578,25,20030224,
82139,289834,25,20030109,007691
82143,30869,25,20030109,121979
82176,209445,25,20030804,
82182,209445,25,20030804,
82187,95168,25,20030804,133044
82193,435412,25,20030804,029249
82264,8182485,25,20020828,
82325,7827255,25,20030801,
82329,8057714,25,20030818,
82341,8160626,25,20030818,
82403,267555,25,20030818,004108
82409,8087181,25,20020820,314004
82411,909408,25,20030818,175263
82431,632788,25,20030815,022519
82447,22247,25,20030813,012142
82450,34378,25,20030813,029389
82453,255902,25,20030731,002259
82457,108856,25,20030813,005606
82472,411342,25,20030812,133367
82492,21803,25,20020814,007267
82565,22247,25,20030812,012142
82582,25048,25,20030124,121493
82584,403641,25,20030124,109338
82591,99186,25,20030124,007585
82595,320832,25,20030207,016436
82597,874415,25,20030207,012860
82601,35712,25,20030124,063804
82625,1711532,25,20020801,
82653,4211700,25,20030729,
82654,107534,25,20030617,010787
82670,4163032,25,20030730,
82675,26189,25,20030731,025099
82676,26189,25,20030731,025099
82677,26189,25,20030731,025099
82680,7957688,25,20030730,
82685,5546001,25,20030731,
82686,4307107,25,20030731,
82691,866370,25,20030731,
82692,392731,25,20030113,114484
82694,5629613,25,20030731,
82698,6813308,25,20030731,
